Date,Today Price,Tomorrow Prediction,Cash,Bank Account,Position,Holding Value,Leverage,Leverage for Short,Leverage for Long,Losses,Leverage Factor,Transaction Cost,Status,Unused_Capital
2018-03-14,34.630001,34.592710150776895,200000.0,0,0.0,200000.0,0.0,0.0,0.0,Not Update,9.0,0,New Day Start,200000.0
2018-03-14,34.630001,34.592710150776895,2000000.0,0,-51978.05220970106,200000.0,1800000.0,1800000.0,0.0,Not Update,9.0,0,Start Short Position,200000.0
2018-03-14,34.630001,34.592710150776895,2000000.0,0,-51978.05220970106,200000.0,1800000.0,1800000.0,0.0,Not Update,9.0,0,End of Day,200000.0
2018-03-15,34.639999,34.660447572984765,2000000.0,0,-51978.05220970106,200000.0,1800000.0,1800000.0,0.0,Not Update,9.0,0,New Day Start,200000.0
2018-03-15,34.639999,34.660447572984765,199480.32343400735,0,0.0,199480.32343400735,0.0,0.0,0.0,-519.6765659926459,9.0,0,Wrong Decision On Short and Close Position,199480.32343400735
2018-03-15,34.639999,34.660447572984765,199480.32343400735,0,51828.030102023564,199480.32343400735,1795322.9109060662,0.0,1795322.9109060662,Not Update,9.0,0,Start Long Position,199480.32343400735
2018-03-15,34.639999,34.660447572984765,199480.32343400735,0,51828.030102023564,199480.32343400735,1795322.9109060662,0.0,1795322.9109060662,Not Update,9.0,0,End of Day,199480.32343400735
2018-03-16,34.52,34.61625557070847,199480.32343400735,0,51828.030102023564,199480.32343400735,1795322.9109060662,0.0,1795322.9109060662,Not Update,9.0,0,New Day Start,199480.32343400735
2018-03-16,34.52,34.61625557070847,193261.01164979464,0,0.0,193261.01164979464,0.0,0.0,0.0,-6219.31178421271,9.0,0,Wrong Decision On Long and Close Position,193261.01164979464
2018-03-16,34.52,34.61625557070847,193261.01164979464,0,50386.706397686896,193261.01164979464,1739349.1048481518,0.0,1739349.1048481518,Not Update,9.0,0,Start Long Position,193261.01164979464
2018-03-16,34.52,34.61625557070847,193261.01164979464,0,50386.706397686896,193261.01164979464,1739349.1048481518,0.0,1739349.1048481518,Not Update,9.0,0,End of Day,193261.01164979464
2018-03-19,34.41,34.55242811872413,193261.01164979464,0,50386.706397686896,193261.01164979464,1739349.1048481518,0.0,1739349.1048481518,Not Update,9.0,0,New Day Start,193261.01164979464
2018-03-19,34.41,34.55242811872413,187718.47394604888,0,0.0,187718.47394604888,0.0,0.0,0.0,-5542.537703745766,9.0,0,Wrong Decision On Long and Close Position,187718.47394604888
2018-03-19,34.41,34.55242811872413,187718.47394604888,0,49098.118730439994,187718.47394604888,1689466.26551444,0.0,1689466.26551444,Not Update,9.0,0,Start Long Position,187718.47394604888
2018-03-19,34.41,34.55242811872413,187718.47394604888,0,49098.118730439994,187718.47394604888,1689466.26551444,0.0,1689466.26551444,Not Update,9.0,0,End of Day,187718.47394604888
2018-03-20,34.27,34.41051720067558,187718.47394604888,0,49098.118730439994,187718.47394604888,1689466.26551444,0.0,1689466.26551444,Not Update,9.0,0,New Day Start,187718.47394604888
2018-03-20,34.27,34.41051720067558,180844.73732378776,0,0.0,180844.73732378776,0.0,0.0,0.0,-6873.736622261116,9.0,0,Wrong Decision On Long and Close Position,180844.73732378776
2018-03-20,34.27,34.41051720067558,180844.73732378776,0,47493.511406889105,180844.73732378776,1627602.6359140899,0.0,1627602.6359140899,Not Update,9.0,0,Start Long Position,180844.73732378776
2018-03-20,34.27,34.41051720067558,180844.73732378776,0,47493.511406889105,180844.73732378776,1627602.6359140899,0.0,1627602.6359140899,Not Update,9.0,0,End of Day,180844.73732378776
2018-03-21,34.310001,34.287827321250795,180844.73732378776,0,47493.511406889105,180844.73732378776,1627602.6359140899,0.0,1627602.6359140899,Not Update,9.0,0,New Day Start,180844.73732378776
2018-03-21,34.310001,34.287827321250795,182744.52527357452,0,0.0,182744.52527357452,0.0,0.0,0.0,Not Update,9.0,0,Close Long Position,182744.52527357452
2018-03-21,34.310001,34.287827321250795,1827445.2527357452,0,-47936.48147845203,182744.52527357452,1644700.7274621706,1644700.7274621706,0.0,Not Update,9.0,0,Start Short Position,182744.52527357452
2018-03-21,34.310001,34.287827321250795,1827445.2527357452,0,-47936.48147845203,182744.52527357452,1644700.7274621706,1644700.7274621706,0.0,Not Update,9.0,0,End of Day,182744.52527357452
2018-03-22,34.639999,34.31544702441826,1827445.2527357452,0,-47936.48147845203,182744.52527357452,1644700.7274621706,1644700.7274621706,0.0,Not Update,9.0,0,New Day Start,182744.52527357452
2018-03-22,34.639999,34.31544702441826,166925.58225864824,0,0.0,166925.58225864824,0.0,0.0,0.0,-15818.943014926277,9.0,0,Wrong Decision On Short and Close Position,166925.58225864824
2018-03-22,34.639999,34.31544702441826,1669255.8225864824,0,-43369.81188503597,166925.58225864824,1502330.2403278342,1502330.2403278342,0.0,Not Update,9.0,0,Start Short Position,166925.58225864824
2018-03-22,34.639999,34.31544702441826,1669255.8225864824,0,-43369.81188503597,166925.58225864824,1502330.2403278342,1502330.2403278342,0.0,Not Update,9.0,0,End of Day,166925.58225864824
2018-03-23,34.610001,34.62708880409847,1669255.8225864824,0,-43369.81188503597,166925.58225864824,1502330.2403278342,1502330.2403278342,0.0,Not Update,9.0,0,New Day Start,166925.58225864824
2018-03-23,34.610001,34.62708880409847,168226.58987557585,0,0.0,168226.58987557585,0.0,0.0,0.0,Not Update,9.0,0,Close Short Position,168226.58987557585
2018-03-23,34.610001,34.62708880409847,168226.58987557585,0,43745.71699319462,168226.58987557585,1514039.3088801827,0.0,1514039.3088801827,Not Update,9.0,0,Start Long Position,168226.58987557585
2018-03-23,34.610001,34.62708880409847,168226.58987557585,0,43745.71699319462,168226.58987557585,1514039.3088801827,0.0,1514039.3088801827,Not Update,9.0,0,End of Day,168226.58987557585
2018-03-26,34.490002,34.59955084411593,168226.58987557585,0,43745.71699319462,168226.58987557585,1514039.3088801827,0.0,1514039.3088801827,Not Update,9.0,0,New Day Start,168226.58987557585
2018-03-26,34.490002,34.59955084411593,162977.14758210955,0,0.0,162977.14758210955,0.0,0.0,0.0,-5249.442293466302,9.0,0,Wrong Decision On Long and Close Position,162977.14758210955
2018-03-26,34.490002,34.59955084411593,162977.14758210955,0,42528.102150848994,162977.14758210955,1466794.328238986,0.0,1466794.328238986,Not Update,9.0,0,Start Long Position,162977.14758210955
2018-03-26,34.490002,34.59955084411593,162977.14758210955,0,42528.102150848994,162977.14758210955,1466794.328238986,0.0,1466794.328238986,Not Update,9.0,0,End of Day,162977.14758210955
2018-03-27,34.84,34.514475613378266,162977.14758210955,0,42528.102150848994,162977.14758210955,1466794.328238986,0.0,1466794.328238986,Not Update,9.0,0,New Day Start,162977.14758210955
2018-03-27,34.84,34.514475613378266,177861.89827870275,0,0.0,177861.89827870275,0.0,0.0,0.0,Not Update,9.0,0,Close Long Position,177861.89827870275
2018-03-27,34.84,34.514475613378266,1778618.9827870275,0,-45945.95535328142,177861.89827870275,1600757.0845083247,1600757.0845083247,0.0,Not Update,9.0,0,Start Short Position,177861.89827870275
2018-03-27,34.84,34.514475613378266,1778618.9827870275,0,-45945.95535328142,177861.89827870275,1600757.0845083247,1600757.0845083247,0.0,Not Update,9.0,0,End of Day,177861.89827870275
2018-03-28,34.91,34.82461044578718,1778618.9827870275,0,-45945.95535328142,177861.89827870275,1600757.0845083247,1600757.0845083247,0.0,Not Update,9.0,0,New Day Start,177861.89827870275
2018-03-28,34.91,34.82461044578718,174645.68140397337,0,0.0,174645.68140397337,0.0,0.0,0.0,-3216.2168747293763,9.0,0,Wrong Decision On Short and Close Position,174645.68140397337
2018-03-28,34.91,34.82461044578718,1746456.8140397337,0,-45024.66721958638,174645.68140397337,1571811.1326357604,1571811.1326357604,0.0,Not Update,9.0,0,Start Short Position,174645.68140397337
2018-03-28,34.91,34.82461044578718,1746456.8140397337,0,-45024.66721958638,174645.68140397337,1571811.1326357604,1571811.1326357604,0.0,Not Update,9.0,0,End of Day,174645.68140397337
2018-03-29,35.099998,34.90013346411743,1746456.8140397337,0,-45024.66721958638,174645.68140397337,1571811.1326357604,1571811.1326357604,0.0,Not Update,9.0,0,New Day Start,174645.68140397337
2018-03-29,35.099998,34.90013346411743,166091.08468158636,0,0.0,166091.08468158636,0.0,0.0,0.0,-8554.59672238701,9.0,0,Wrong Decision On Short and Close Position,166091.08468158636
2018-03-29,35.099998,34.90013346411743,1660910.8468158636,0,-42587.46003729907,166091.08468158636,1494819.7621342773,1494819.7621342773,0.0,Not Update,9.0,0,Start Short Position,166091.08468158636
2018-03-29,35.099998,34.90013346411743,1660910.8468158636,0,-42587.46003729907,166091.08468158636,1494819.7621342773,1494819.7621342773,0.0,Not Update,9.0,0,End of Day,166091.08468158636
2018-04-02,35.080002,35.0944822704338,1660910.8468158636,0,-42587.46003729907,166091.08468158636,1494819.7621342773,1494819.7621342773,0.0,Not Update,9.0,0,New Day Start,166091.08468158636
2018-04-02,35.080002,35.0944822704338,166942.66353249224,0,0.0,166942.66353249224,0.0,0.0,0.0,Not Update,9.0,0,Close Short Position,166942.66353249224
2018-04-02,35.080002,35.0944822704338,166942.66353249224,0,42830.21340171047,166942.66353249224,1502483.9717924302,0.0,1502483.9717924302,Not Update,9.0,0,Start Long Position,166942.66353249224
2018-04-02,35.080002,35.0944822704338,166942.66353249224,0,42830.21340171047,166942.66353249224,1502483.9717924302,0.0,1502483.9717924302,Not Update,9.0,0,End of Day,166942.66353249224
2018-04-03,34.82,35.09333795572293,166942.66353249224,0,42830.21340171047,166942.66353249224,1502483.9717924302,0.0,1502483.9717924302,Not Update,9.0,0,New Day Start,166942.66353249224
2018-04-03,34.82,35.09333795572293,155806.7223876207,0,0.0,155806.7223876207,0.0,0.0,0.0,-11135.941144871525,9.0,0,Wrong Decision On Long and Close Position,155806.7223876207
2018-04-03,34.82,35.09333795572293,155806.7223876207,0,40271.69734315297,155806.7223876207,1402260.5014885864,0.0,1402260.5014885864,Not Update,9.0,0,Start Long Position,155806.7223876207
2018-04-03,34.82,35.09333795572293,155806.7223876207,0,40271.69734315297,155806.7223876207,1402260.5014885864,0.0,1402260.5014885864,Not Update,9.0,0,End of Day,155806.7223876207
2018-04-04,34.759998,34.81561189733769,155806.7223876207,0,40271.69734315297,155806.7223876207,1402260.5014885864,0.0,1402260.5014885864,Not Update,9.0,0,New Day Start,155806.7223876207
2018-04-04,34.759998,34.81561189733769,153390.3400036369,0,0.0,153390.3400036369,0.0,0.0,0.0,-2416.382383983815,9.0,0,Wrong Decision On Long and Close Position,153390.3400036369
2018-04-04,34.759998,34.81561189733769,153390.3400036369,0,39715.567878707356,153390.3400036369,1380513.060032732,0.0,1380513.060032732,Not Update,9.0,0,Start Long Position,153390.3400036369
2018-04-04,34.759998,34.81561189733769,153390.3400036369,0,39715.567878707356,153390.3400036369,1380513.060032732,0.0,1380513.060032732,Not Update,9.0,0,End of Day,153390.3400036369
2018-04-05,34.52,34.806277272417624,153390.3400036369,0,39715.567878707356,153390.3400036369,1380513.060032732,0.0,1380513.060032732,Not Update,9.0,0,New Day Start,153390.3400036369
2018-04-05,34.52,34.806277272417624,143858.68314388278,0,0.0,143858.68314388278,0.0,0.0,0.0,-9531.656859754119,9.0,0,Wrong Decision On Long and Close Position,143858.68314388278
2018-04-05,34.52,34.806277272417624,143858.68314388278,0,37506.60916265773,143858.68314388278,1294728.148294945,0.0,1294728.148294945,Not Update,9.0,0,Start Long Position,143858.68314388278
2018-04-05,34.52,34.806277272417624,143858.68314388278,0,37506.60916265773,143858.68314388278,1294728.148294945,0.0,1294728.148294945,Not Update,9.0,0,End of Day,143858.68314388278
2018-04-06,34.849998,34.507683301801286,143858.68314388278,0,37506.60916265773,143858.68314388278,1294728.148294945,0.0,1294728.148294945,Not Update,9.0,0,New Day Start,143858.68314388278
2018-04-06,34.849998,34.507683301801286,156235.78915434144,0,0.0,156235.78915434144,0.0,0.0,0.0,Not Update,9.0,0,Close Long Position,156235.78915434144
2018-04-06,34.849998,34.507683301801286,1562357.8915434144,0,-40347.838825961284,156235.78915434144,1406122.102389073,1406122.102389073,0.0,Not Update,9.0,0,Start Short Position,156235.78915434144
2018-04-06,34.849998,34.507683301801286,1562357.8915434144,0,-40347.838825961284,156235.78915434144,1406122.102389073,1406122.102389073,0.0,Not Update,9.0,0,End of Day,156235.78915434144
2018-04-09,34.889999,34.85803462705726,1562357.8915434144,0,-40347.838825961284,156235.78915434144,1406122.102389073,1406122.102389073,0.0,Not Update,9.0,0,New Day Start,156235.78915434144
2018-04-09,34.889999,34.85803462705726,154621.83525346406,0,0.0,154621.83525346406,0.0,0.0,0.0,-1613.9539008773863,9.0,0,Wrong Decision On Short and Close Position,154621.83525346406
2018-04-09,34.889999,34.85803462705726,1546218.3525346406,0,-39885.255292818336,154621.83525346406,1391596.5172811765,1391596.5172811765,0.0,Not Update,9.0,0,Start Short Position,154621.83525346406
2018-04-09,34.889999,34.85803462705726,1546218.3525346406,0,-39885.255292818336,154621.83525346406,1391596.5172811765,1391596.5172811765,0.0,Not Update,9.0,0,End of Day,154621.83525346406
2018-04-10,34.869999,34.887369560967755,1546218.3525346406,0,-39885.255292818336,154621.83525346406,1391596.5172811765,1391596.5172811765,0.0,Not Update,9.0,0,New Day Start,154621.83525346406
2018-04-10,34.869999,34.887369560967755,155419.54035932058,0,0.0,155419.54035932058,0.0,0.0,0.0,Not Update,9.0,0,Close Short Position,155419.54035932058
2018-04-10,34.869999,34.887369560967755,155419.54035932058,0,40114.020744132664,155419.54035932058,1398775.8632338853,0.0,1398775.8632338853,Not Update,9.0,0,Start Long Position,155419.54035932058
2018-04-10,34.869999,34.887369560967755,155419.54035932058,0,40114.020744132664,155419.54035932058,1398775.8632338853,0.0,1398775.8632338853,Not Update,9.0,0,End of Day,155419.54035932058
